instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,weather_name,weekday_name,year,temp_actual,hum_actual,windspeed_actual,rental_category
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Spring,Mist,Saturday,2011,14.110847,80.58330000000001,10.749882,Low
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Spring,Mist,Sunday,2011,14.902598000000001,69.6087,16.652113,Low
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Spring,Clear,Monday,2011,8.050924,43.7273,16.636703,Low
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Spring,Clear,Tuesday,2011,8.200000000000001,59.0435,10.739832,Low
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Spring,Clear,Wednesday,2011,9.305237,43.695699999999995,12.522300000000001,Low
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Spring,Clear,Thursday,2011,8.378268,51.8261,6.0008684,Low
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Spring,Mist,Friday,2011,8.057402,49.8696,11.304642,Low
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Spring,Mist,Saturday,2011,6.765000000000001,53.5833,17.875868,Low
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Spring,Clear,Sunday,2011,5.671653,43.416700000000006,24.25065,Low
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Spring,Clear,Monday,2011,6.184153,48.2917,14.958889,Low
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Spring,Mist,Tuesday,2011,6.9327309999999995,68.6364,8.182844000000001,Low
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Spring,Clear,Wednesday,2011,7.0818069999999995,59.954499999999996,20.410009,Low
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Spring,Clear,Thursday,2011,6.765000000000001,47.0417,20.166999999999998,Low
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Spring,Clear,Friday,2011,6.59567,53.7826,8.478716,Low
